"","lon","lat","date","status","analysed_sst","analysis_error","mask","sea_ice_fraction"
"99",73.478885460645,31.2936524772794,2007-04-25,TRUE,NA,NA,2,NA
"100",163.936962084845,33.158581954653,2007-02-23,TRUE,289.321,0.39,1,0
"101",127.543629007414,29.0448485614106,2015-06-28,TRUE,300.67,0.4,1,NA
"102",-127.416048645973,64.6108239098729,2010-05-16,TRUE,NA,NA,2,NA
"103",123.67912103422,49.7626587762063,2017-03-07,TRUE,NA,NA,2,NA
"104",-64.9336018972099,32.2127998121972,2003-04-23,TRUE,293.784,0.38,1,NA
"105",-75.4184932261705,-32.6651587966843,2019-02-16,TRUE,291.765,0.38,1,NA
"106",-7.56448371335864,-38.0455836177984,2020-08-22,TRUE,284.806,0.4,1,NA
"107",162.202372318134,-58.5501337817575,2015-04-23,TRUE,277.972,0.37,1,0
"108",87.5134168099612,1.63695556616846,2004-12-09,TRUE,302.644,0.39,1,NA
"109",-167.243289034814,9.65290095958935,2011-10-20,TRUE,301.237,0.37,1,NA
"110",-150.337851326913,79.0965296748902,2019-08-03,TRUE,271.35,0.35,9,0.66
"111",41.6473910305649,50.7665723088957,2009-01-04,TRUE,NA,NA,2,NA
"112",96.3135698251426,41.4354443859013,2012-12-11,TRUE,NA,NA,2,NA
"113",57.6091727055609,-42.8512202443426,2013-06-04,TRUE,285.08,0.38,1,NA
"114",106.574953682721,-20.0260452023918,2015-02-03,TRUE,299.371,0.37,1,NA
"115",-105.31462633051,-11.6092282117411,2015-10-04,TRUE,297.051,0.39,1,NA
"116",94.4828926026821,41.7428467590347,2009-10-22,TRUE,NA,NA,2,NA
"117",102.870446182787,-68.3899430718413,2011-10-20,TRUE,NA,NA,2,NA
"118",-88.3541231229901,50.4645681189126,2008-05-13,TRUE,NA,NA,2,NA
"119",-80.6586276646703,13.7713709500488,2012-12-12,TRUE,301.671,0.38,1,NA
"120",-53.2699576579034,-77.4072264546535,2013-09-14,TRUE,NA,NA,2,NA
"121",132.227889122441,33.0159587322277,2020-11-19,TRUE,295.01,0.39,1,NA
"122",-31.9083120580763,52.189815818487,2013-08-08,TRUE,285.629,0.38,1,0
"123",75.7286791317165,-9.71910572881195,2008-03-23,TRUE,301.347,0.4,1,NA
"124",179.927337029949,8.86214473388242,2010-06-10,TRUE,301.544,0.39,1,NA
"125",-144.786174707115,21.3223822444893,2017-12-18,TRUE,297.443,0.4,1,NA
"126",124.212819943205,21.2167491802124,2017-05-03,TRUE,299.902,0.38,1,NA
"127",135.296518709511,1.04123000351773,2011-07-09,TRUE,302.538,0.41,1,NA
"128",70.5659105814993,8.17577383062178,2010-01-05,TRUE,302.678,0.39,1,NA
"129",86.0519524477422,-72.3000447488359,2011-09-03,TRUE,NA,NA,2,NA
"130",130.187092674896,-37.159301155939,2016-02-17,TRUE,292.367,0.4,1,NA
"131",108.567360145971,12.5237358165616,2008-07-15,TRUE,NA,NA,2,NA
"132",-107.33971953392,-12.1170163819734,2007-04-26,TRUE,299.765,0.38,1,NA
"133",-168.508764049038,37.6974412977839,2007-03-05,TRUE,285.12,0.38,1,NA
"134",-87.7249467093498,-61.357405398185,2008-11-01,TRUE,275.826,0.37,1,0
"135",-120.119296582416,58.6572355680142,2018-10-06,TRUE,NA,NA,2,NA
"136",97.6116730738431,40.4017828634406,2009-03-23,TRUE,NA,NA,2,NA
"137",-42.6681405398995,49.6312874320952,2006-08-19,TRUE,290.052,0.38,1,0
"138",68.1433778721839,-36.6343122867932,2007-04-16,TRUE,291.522,0.39,1,NA
"139",-163.215870894492,-15.5458189153112,2016-02-25,TRUE,301.83,0.39,1,NA
"140",42.9495366197079,-8.18358016464327,2007-12-14,TRUE,302.866,0.38,1,NA
"141",154.226154936478,-14.4481426343497,2014-05-03,TRUE,301.659,0.39,1,NA
"142",22.0380169898272,-15.2427467877247,2007-01-03,TRUE,NA,NA,2,NA
"143",-124.433610672131,-32.2218690805815,2005-07-17,TRUE,290.746,0.39,1,NA
"144",143.308992264792,3.39487014385981,2004-03-12,TRUE,302.696,0.41,1,NA
"145",-169.762321840972,-32.9294025372831,2011-03-10,TRUE,296.104,0.38,1,NA
"146",-26.3937756512314,-8.64868513773426,2017-12-25,TRUE,299.961,0.38,1,NA
"147",-133.924745991826,-15.7610470515167,2005-08-21,TRUE,299.701,0.38,1,NA
"148",-55.6188599579036,36.0289783462503,2015-08-05,TRUE,299.449,0.37,1,NA
"149",-39.5472949650139,39.3134457305237,2006-06-22,TRUE,294.751,0.39,1,NA
"150",129.311410188675,-41.0043679837329,2004-12-24,TRUE,288.397,0.37,1,NA
"151",114.857323011383,32.2873314637292,2012-02-28,TRUE,NA,NA,2,NA
"152",-88.0076255556196,-56.5360363707926,2007-11-25,TRUE,278.782,0.38,1,0
"153",-5.85366007871926,22.9606368170599,2005-07-20,TRUE,NA,NA,2,NA
"154",-72.0048994570971,58.2403090504695,2006-07-09,TRUE,NA,NA,2,NA
"155",6.4141627214849,11.2560116705319,2004-04-27,TRUE,NA,NA,2,NA
"156",153.36663544178,21.9657028616333,2007-04-01,TRUE,298.008,0.37,1,NA
"157",148.373037921265,-2.08412680575799,2018-06-18,TRUE,303.669,0.38,1,NA
"158",148.173021487892,16.968228059546,2007-03-04,TRUE,299.924,0.41,1,NA
"159",-48.9918180182576,42.0909512133599,2008-06-05,TRUE,286.366,0.39,1,NA
"160",49.124273294583,-13.682256820081,2006-10-22,TRUE,NA,NA,2,NA
"161",130.87692967616,-30.7987874239726,2017-05-12,TRUE,NA,NA,2,NA
